Trial,Metal,Voltage (V),Current (pA),Frequency (Hz),Wavelength (nm),
1,Sodium, 0.405, 0.00,6.6667E14,450.00,
2,Sodium, 1.801, 0.00,10.0000E14,300.00,
3,Sodium, 1.198,-0.01,8.5714E14,350.00,
4,Sodium, 1.499, 0.00,9.2308E14,325.00,
5,Sodium, 0.960, 0.00,8.0000E14,375.00,
6,Sodium, 0.570, 0.00,7.0588E14,425.00,
7,Sodium, 0.762, 0.00,7.5000E14,400.00,
8,Sodium, 2.241,-0.02,10.9091E14,275.00,
9,Sodium, 2.618, 0.00,12.0000E14,250.00,
10,Sodium, 3.200, 0.02,13.3333E14,225.00,
11,Aluminium, 2.138,-0.01,15.0000E14,200.00,
12,Aluminium, 0.891, 0.02,12.0000E14,250.00,
13,Aluminium, 1.449, 0.00,13.3333E14,225.00,
14,Aluminium, 1.900, 0.00,14.2857E14,210.00,
15,Aluminium, 1.570,-0.02,13.6364E14,220.00,
16,Aluminium, 1.331, 0.02,13.0435E14,230.00,
17,Aluminium, 1.998, 0.01,14.6341E14,205.00,
18,Aluminium, 1.750, 0.00,13.9535E14,215.00,
19,Aluminium, 1.261,-0.02,12.8755E14,233.00,
20,Aluminium, 1.795,-0.02,14.0845E14,213.00,
